VW, ArtistAndTitle, WeeksAndPeak, Rank, Week
VW 39,Jason Derulo</b><br/>Don't Wanna Go Home</a>,W 18 | P 18,41,23.10.2011
VW 43,Selah Sue</b><br/>This World</a>,W 2 | P 42,42,23.10.2011
re,Stress feat. Kaspar E. Glättli III</b><br/>Au poste</a>,W 7 | P 43,43,23.10.2011
VW 40,Pegasus</b><br/>Technology</a>,W 5 | P 31,44,23.10.2011
VW 38,Alexandra Stan</b><br/>Get Back (ASAP)</a>,W 5 | P 23,45,23.10.2011
re,Jessie J feat. B.o.B</b><br/>Price Tag</a>,W 32 | P 7,46,23.10.2011
VW 50,Bruno Mars</b><br/>The Lazy Song</a>,W 24 | P 9,47,23.10.2011
VW 56,DJ Antoine feat. Tom Dice</b><br/>Sunlight</a>,W 20 | P 10,48,23.10.2011
VW 44,Lady Gaga</b><br/>The Edge Of Glory</a>,W 19 | P 10,49,23.10.2011
VW 54,Beyoncé</b><br/>Best Thing I Never Had</a>,W 16 | P 35,50,23.10.2011
re,Bruno Mars</b><br/>Grenade</a>,W 38 | P 1,51,23.10.2011
VW 60,Red Hot Chili Peppers</b><br/>The Adventures Of Rain Dance Maggie</a>,W 8 | P 26,52,23.10.2011
VW 42,Britney Spears</b><br/>I Wanna Go</a>,W 16 | P 27,53,23.10.2011
VW 52,Snoop Dogg vs. David Guetta</b><br/>Sweat</a>,W 31 | P 2,54,23.10.2011
VW 71,Shakira feat. Freshlyground</b><br/>Waka Waka (This Time For Africa)</a>,W 74 | P 1,55,23.10.2011
VW 58,LMFAO feat. Natalia Kills</b><br/>Champagne Showers</a>,W 8 | P 56,56,23.10.2011
VW 67,Britney Spears</b><br/>Criminal</a>,W 2 | P 57,57,23.10.2011
VW 59,Sarah McLachlan</b><br/>Angel</a>,W 9 | P 17,58,23.10.2011
VW 65,Caro Emerald</b><br/>A Night Like This</a>,W 27 | P 9,59,23.10.2011
VW 62,Brooke Fraser</b><br/>Something In The Water</a>,W 21 | P 10,60,23.10.2011
VW 57,Rosenstolz</b><br/>Wir sind am Leben</a>,W 5 | P 35,61,23.10.2011
VW 48,Mike Candys &amp; Jack Holiday</b><br/>Insomnia</a>,W 26 | P 34,62,23.10.2011
VW 49,Katy Perry</b><br/>Last Friday Night (T.G.I.F.)</a>,W 17 | P 20,63,23.10.2011
VW 69,Israel IZ Kamakawiwo'ole</b><br/>Over The Rainbow</a>,W 57 | P 3,64,23.10.2011
VW 46,Tim Bendzko</b><br/>Wenn Worte meine Sprache wären</a>,W 2 | P 46,65,23.10.2011
VW 47,Bastian Baker</b><br/>Lucky</a>,W 5 | P 38,66,23.10.2011
VW 55,Chris Brown feat. Benny Benassi</b><br/>Beautiful People</a>,W 20 | P 36,67,23.10.2011
neu,Cobra Starship feat. Sabi</b><br/>You Make Me Feel...</a>,W 1 | P 68,68,23.10.2011
VW 68,Leona Lewis</b><br/>Run</a>,W 67 | P 2,69,23.10.2011
neu,Stress</b><br/>Fuck Stress</a>,W 1 | P 70,70,23.10.2011
VW 32,Florian Ast &amp; Francine Jordi</b><br/>Sit däm Tag</a>,W 2 | P 32,71,23.10.2011
neu,Hurts</b><br/>Blood Tears &amp; Gold</a>,W 1 | P 72,72,23.10.2011
VW 64,Rihanna</b><br/>California King Bed</a>,W 22 | P 10,73,23.10.2011
VW 74,Milow</b><br/>Little In The Middle</a>,W 10 | P 51,74,23.10.2011
re,Eminem feat. Rihanna</b><br/>Love The Way You Lie</a>,W 46 | P 1,75,23.10.2011
VW 2,Rihanna feat. Calvin Harris</b><br/>We Found Love</a>,W 4 | P 1,1,30.10.2011
VW 5,Adele</b><br/>Someone Like You</a>,W 18 | P 2,2,30.10.2011
VW 1,Marlon Roudette</b><br/>New Age</a>,W 10 | P 1,3,30.10.2011
VW 8,Coldplay</b><br/>Paradise</a>,W 6 | P 4,4,30.10.2011
VW 3,Pitbull feat. Marc Anthony</b><br/>Rain Over Me</a>,W 18 | P 3,5,30.10.2011
VW 6,Sean Paul feat. Alexis Jordan</b><br/>Got 2 Luv U</a>,W 11 | P 1,6,30.10.2011
VW 7,Maroon 5 feat. Christina Aguilera</b><br/>Moves Like Jagger</a>,W 16 | P 5,7,30.10.2011
VW 17,David Guetta feat. Usher</b><br/>Without You</a>,W 4 | P 8,8,30.10.2011
VW 10,Stress feat. Noah Veraguth</b><br/>Elle</a>,W 2 | P 9,9,30.10.2011
VW 27,Adele</b><br/>Rolling In The Deep</a>,W 40 | P 1,10,30.10.2011
VW 9,R.I.O. feat. U-Jean</b><br/>Turn This Club Around</a>,W 5 | P 1,11,30.10.2011
VW 21,LMFAO</b><br/>Sexy And I Know It</a>,W 3 | P 12,12,30.10.2011
VW 4,James Morrison</b><br/>I Won't Let You Go</a>,W 8 | P 3,13,30.10.2011
VW 16,Adele</b><br/>Set Fire To The Rain</a>,W 26 | P 4,14,30.10.2011
VW 13,Sak Noel</b><br/>Loca People (What The F**k!)</a>,W 13 | P 2,15,30.10.2011
VW 14,Lucenzo feat. Don Omar</b><br/>Danza kuduro</a>,W 23 | P 1,16,30.10.2011
VW 11,Mike Candys &amp; Evelyn feat. Patrick Miller</b><br/>One Night In Ibiza</a>,W 14 | P 7,17,30.10.2011
VW 15,DJ Antoine vs. Timati feat. Kalenna</b><br/>Welcome To St. Tropez</a>,W 29 | P 2,18,30.10.2011
VW 12,David Guetta feat. Sia</b><br/>Titanium</a>,W 11 | P 10,19,30.10.2011
VW 32,Bruno Mars</b><br/>Marry You</a>,W 4 | P 20,20,30.10.2011
VW 22,77 Bombay Street</b><br/>Up In The Sky</a>,W 28 | P 7,21,30.10.2011
VW 29,77 Bombay Street</b><br/>I Love Lady Gaga</a>,W 6 | P 19,22,30.10.2011
VW 23,Foster The People</b><br/>Pumped Up Kicks</a>,W 17 | P 23,23,30.10.2011
VW 24,Tim Bendzko</b><br/>Nur noch kurz die Welt retten</a>,W 15 | P 20,24,30.10.2011
VW 25,Alexandra Stan</b><br/>Mr. Saxobeat</a>,W 33 | P 1,25,30.10.2011
VW 20,Example</b><br/>Changed The Way You Kiss Me</a>,W 6 | P 20,26,30.10.2011
VW 19,Pitbull feat. Ne-Yo| Afrojack &amp; Nayer</b><br/>Give Me Everything</a>,W 27 | P 2,27,30.10.2011
VW 26,Mika</b><br/>Elle me dit</a>,W 11 | P 16,28,30.10.2011
VW 34,Bad Meets Evil feat. Bruno Mars</b><br/>Lighters</a>,W 19 | P 10,29,30.10.2011
VW 28,LMFAO feat. Lauren Bennett &amp; GoonRock</b><br/>Party Rock Anthem</a>,W 29 | P 1,30,30.10.2011
VW 30,Rihanna</b><br/>Man Down</a>,W 20 | P 9,31,30.10.2011
neu,Lana Del Rey</b><br/>Video Games</a>,W 1 | P 32,32,30.10.2011
VW 18,The Asteroids Galaxy Tour</b><br/>The Golden Age</a>,W 16 | P 7,33,30.10.2011
VW 31,Sasha Lopez &amp; Broono feat. Andreea D</b><br/>All My People</a>,W 2 | P 31,34,30.10.2011
VW 35,Lady Gaga</b><br/>Yoü And I</a>,W 7 | P 32,35,30.10.2011
VW 38,Snow Patrol</b><br/>Called Out In The Dark</a>,W 7 | P 36,36,30.10.2011
VW 36,Jennifer Lopez feat. Pitbull</b><br/>On The Floor</a>,W 34 | P 1,37,30.10.2011
re,Bruno Mars</b><br/>It Will Rain</a>,W 2 | P 38,38,30.10.2011
VW 33,David Guetta feat. Taio Cruz &amp; Ludacris</b><br/>Little Bad Girl</a>,W 17 | P 7,39,30.10.2011
VW 51,Bruno Mars</b><br/>Grenade</a>,W 39 | P 1,40,30.10.2011
VW 37,Jennifer Lopez</b><br/>Papi</a>,W 4 | P 37,41,30.10.2011
VW 40,Bligg</b><br/>Manhattan</a>,W 20 | P 9,42,30.10.2011
VW 54,Snoop Dogg vs. David Guetta</b><br/>Sweat</a>,W 32 | P 2,43,30.10.2011
VW 57,Britney Spears</b><br/>Criminal</a>,W 3 | P 44,44,30.10.2011
VW 44,Pegasus</b><br/>Technology</a>,W 6 | P 31,45,30.10.2011
VW 48,DJ Antoine feat. Tom Dice</b><br/>Sunlight</a>,W 21 | P 10,46,30.10.2011
VW 53,Britney Spears</b><br/>I Wanna Go</a>,W 17 | P 27,47,30.10.2011
VW 41,Jason Derulo</b><br/>Don't Wanna Go Home</a>,W 19 | P 18,48,30.10.2011
VW 55,Shakira feat. Freshlyground</b><br/>Waka Waka (This Time For Africa)</a>,W 75 | P 1,49,30.10.2011
re,Evanescence</b><br/>Bring Me To Life</a>,W 45 | P 6,50,30.10.2011
VW 45,Alexandra Stan</b><br/>Get Back (ASAP)</a>,W 6 | P 23,51,30.10.2011
VW 49,Lady Gaga</b><br/>The Edge Of Glory</a>,W 20 | P 10,52,30.10.2011
re,ICF Zürich</b><br/>Take A Stand</a>,W 2 | P 12,53,30.10.2011
VW 64,Israel IZ Kamakawiwo'ole</b><br/>Over The Rainbow</a>,W 58 | P 3,54,30.10.2011
VW 52,Red Hot Chili Peppers</b><br/>The Adventures Of Rain Dance Maggie</a>,W 9 | P 26,55,30.10.2011
VW 56,LMFAO feat. Natalia Kills</b><br/>Champagne Showers</a>,W 9 | P 56,56,30.10.2011
VW 50,Beyoncé</b><br/>Best Thing I Never Had</a>,W 17 | P 35,57,30.10.2011
VW 67,Chris Brown feat. Benny Benassi</b><br/>Beautiful People</a>,W 21 | P 36,58,30.10.2011
VW 63,Katy Perry</b><br/>Last Friday Night (T.G.I.F.)</a>,W 18 | P 20,59,30.10.2011
VW 42,Selah Sue</b><br/>This World</a>,W 3 | P 42,60,30.10.2011
VW 61,Rosenstolz</b><br/>Wir sind am Leben</a>,W 6 | P 35,61,30.10.2011
VW 46,Jessie J feat. B.o.B</b><br/>Price Tag</a>,W 33 | P 7,62,30.10.2011
neu,Lana Del Rey</b><br/>Blue Jeans</a>,W 1 | P 63,63,30.10.2011
re,Sunrise Avenue</b><br/>Hollywood Hills</a>,W 35 | P 3,64,30.10.2011
VW 39,Evanescence</b><br/>Lost In Paradise</a>,W 2 | P 39,65,30.10.2011
re,Westlife</b><br/>You Raise Me Up</a>,W 26 | P 18,66,30.10.2011
VW 43,Stress feat. Kaspar E. Glättli III</b><br/>Au poste</a>,W 8 | P 43,67,30.10.2011
neu,Andreas Gabalier</b><br/>I sing a Liad für di</a>,W 1 | P 68,68,30.10.2011
VW 66,Bastian Baker</b><br/>Lucky</a>,W 6 | P 38,69,30.10.2011
VW 69,Leona Lewis</b><br/>Run</a>,W 68 | P 2,70,30.10.2011
re,23</b><br/>So mach ich es</a>,W 2 | P 37,71,30.10.2011
VW 75,Eminem feat. Rihanna</b><br/>Love The Way You Lie</a>,W 47 | P 1,72,30.10.2011
VW 60,Brooke Fraser</b><br/>Something In The Water</a>,W 22 | P 10,73,30.10.2011
VW 72,Hurts</b><br/>Blood Tears &amp; Gold</a>,W 2 | P 72,74,30.10.2011
VW 62,Mike Candys &amp; Jack Holiday</b><br/>Insomnia</a>,W 27 | P 34,75,30.10.2011
VW 1,Rihanna feat. Calvin Harris</b><br/>We Found Love</a>,W 5 | P 1,1,06.11.2011
VW 2,Adele</b><br/>Someone Like You</a>,W 19 | P 2,2,06.11.2011
VW 3,Marlon Roudette</b><br/>New Age</a>,W 11 | P 1,3,06.11.2011
VW 5,Pitbull feat. Marc Anthony</b><br/>Rain Over Me</a>,W 19 | P 3,4,06.11.2011
VW 8,David Guetta feat. Usher</b><br/>Without You</a>,W 5 | P 5,5,06.11.2011
VW 4,Coldplay</b><br/>Paradise</a>,W 7 | P 4,6,06.11.2011
VW 12,LMFAO</b><br/>Sexy And I Know It</a>,W 4 | P 7,7,06.11.2011
VW 7,Maroon 5 feat. Christina Aguilera</b><br/>Moves Like Jagger</a>,W 17 | P 5,8,06.11.2011
VW 6,Sean Paul feat. Alexis Jordan</b><br/>Got 2 Luv U</a>,W 12 | P 1,9,06.11.2011
VW 9,Stress feat. Noah Veraguth</b><br/>Elle</a>,W 3 | P 9,10,06.11.2011
VW 13,James Morrison</b><br/>I Won't Let You Go</a>,W 9 | P 3,11,06.11.2011
VW 10,Adele</b><br/>Rolling In The Deep</a>,W 41 | P 1,12,06.11.2011
neu,Kool Savas</b><br/>Aura</a>,W 1 | P 13,13,06.11.2011
VW 14,Adele</b><br/>Set Fire To The Rain</a>,W 27 | P 4,14,06.11.2011
VW 17,Mike Candys &amp; Evelyn feat. Patrick Miller</b><br/>One Night In Ibiza</a>,W 15 | P 7,15,06.11.2011
VW 24,Tim Bendzko</b><br/>Nur noch kurz die Welt retten</a>,W 16 | P 16,16,06.11.2011
VW 16,Lucenzo feat. Don Omar</b><br/>Danza kuduro</a>,W 24 | P 1,17,06.11.2011
VW 15,Sak Noel</b><br/>Loca People (What The F**k!)</a>,W 14 | P 2,18,06.11.2011
VW 19,David Guetta feat. Sia</b><br/>Titanium</a>,W 12 | P 10,19,06.11.2011
VW 20,Bruno Mars</b><br/>Marry You</a>,W 5 | P 20,20,06.11.2011
VW 11,R.I.O. feat. U-Jean</b><br/>Turn This Club Around</a>,W 6 | P 1,21,06.11.2011
VW 22,77 Bombay Street</b><br/>I Love Lady Gaga</a>,W 7 | P 19,22,06.11.2011
VW 18,DJ Antoine vs. Timati feat. Kalenna</b><br/>Welcome To St. Tropez</a>,W 30 | P 2,23,06.11.2011
neu,Kelly Clarkson</b><br/>Mr. Know It All</a>,W 1 | P 24,24,06.11.2011
VW 34,Sasha Lopez &amp; Broono feat. Andreea D</b><br/>All My People</a>,W 3 | P 25,25,06.11.2011
VW 23,Foster The People</b><br/>Pumped Up Kicks</a>,W 18 | P 23,26,06.11.2011
VW 27,Pitbull feat. Ne-Yo| Afrojack &amp; Nayer</b><br/>Give Me Everything</a>,W 28 | P 2,27,06.11.2011
neu,Aura Dione</b><br/>Geronimo</a>,W 1 | P 28,28,06.11.2011
VW 21,77 Bombay Street</b><br/>Up In The Sky</a>,W 29 | P 7,29,06.11.2011
VW 30,LMFAO feat. Lauren Bennett &amp; GoonRock</b><br/>Party Rock Anthem</a>,W 30 | P 1,30,06.11.2011
VW 26,Example</b><br/>Changed The Way You Kiss Me</a>,W 7 | P 20,31,06.11.2011
VW 25,Alexandra Stan</b><br/>Mr. Saxobeat</a>,W 34 | P 1,32,06.11.2011
VW 33,The Asteroids Galaxy Tour</b><br/>The Golden Age</a>,W 17 | P 7,33,06.11.2011
VW 32,Lana Del Rey</b><br/>Video Games</a>,W 2 | P 32,34,06.11.2011
VW 28,Mika</b><br/>Elle me dit</a>,W 12 | P 16,35,06.11.2011
VW 44,Britney Spears</b><br/>Criminal</a>,W 4 | P 36,36,06.11.2011
VW 31,Rihanna</b><br/>Man Down</a>,W 21 | P 9,37,06.11.2011
VW 35,Lady Gaga</b><br/>Yoü And I</a>,W 8 | P 32,38,06.11.2011
VW 29,Bad Meets Evil feat. Bruno Mars</b><br/>Lighters</a>,W 20 | P 10,39,06.11.2011
re,Coldplay</b><br/>Every Teardrop Is A Waterfall</a>,W 17 | P 6,40,06.11.2011
VW 36,Snow Patrol</b><br/>Called Out In The Dark</a>,W 8 | P 36,41,06.11.2011
VW 37,Jennifer Lopez feat. Pitbull</b><br/>On The Floor</a>,W 35 | P 1,42,06.11.2011
VW 39,David Guetta feat. Taio Cruz &amp; Ludacris</b><br/>Little Bad Girl</a>,W 18 | P 7,43,06.11.2011
VW 42,Bligg</b><br/>Manhattan</a>,W 21 | P 9,44,06.11.2011
VW 43,Snoop Dogg vs. David Guetta</b><br/>Sweat</a>,W 33 | P 2,45,06.11.2011
VW 41,Jennifer Lopez</b><br/>Papi</a>,W 5 | P 37,46,06.11.2011
VW 40,Bruno Mars</b><br/>Grenade</a>,W 40 | P 1,47,06.11.2011
VW 60,Selah Sue</b><br/>This World</a>,W 4 | P 42,48,06.11.2011
neu,Justin Bieber</b><br/>Mistletoe</a>,W 1 | P 49,49,06.11.2011
VW 38,Bruno Mars</b><br/>It Will Rain</a>,W 3 | P 38,50,06.11.2011
VW 46,DJ Antoine feat. Tom Dice</b><br/>Sunlight</a>,W 22 | P 10,51,06.11.2011
neu,Thirty Seconds To Mars</b><br/>The Kill (Bury Me)</a>,W 1 | P 52,52,06.11.2011
re,Unheilig</b><br/>Geboren um zu leben</a>,W 72 | P 13,53,06.11.2011
VW 45,Pegasus</b><br/>Technology</a>,W 7 | P 31,54,06.11.2011
VW 49,Shakira feat. Freshlyground</b><br/>Waka Waka (This Time For Africa)</a>,W 76 | P 1,55,06.11.2011
VW 74,Hurts</b><br/>Blood Tears &amp; Gold</a>,W 3 | P 56,56,06.11.2011
VW 55,Red Hot Chili Peppers</b><br/>The Adventures Of Rain Dance Maggie</a>,W 10 | P 26,57,06.11.2011
VW 54,Israel IZ Kamakawiwo'ole</b><br/>Over The Rainbow</a>,W 59 | P 3,58,06.11.2011
VW 52,Lady Gaga</b><br/>The Edge Of Glory</a>,W 21 | P 10,59,06.11.2011
VW 57,Beyoncé</b><br/>Best Thing I Never Had</a>,W 18 | P 35,60,06.11.2011
VW 63,Lana Del Rey</b><br/>Blue Jeans</a>,W 2 | P 61,61,06.11.2011
VW 58,Chris Brown feat. Benny Benassi</b><br/>Beautiful People</a>,W 22 | P 36,62,06.11.2011
neu,Tiziano Ferro</b><br/>La differenza tra me e te</a>,W 1 | P 63,63,06.11.2011
neu,B.o.B feat. Lil Wayne</b><br/>Strange Clouds</a>,W 1 | P 64,64,06.11.2011
VW 59,Katy Perry</b><br/>Last Friday Night (T.G.I.F.)</a>,W 19 | P 20,65,06.11.2011
re,Michael Andrews feat. Gary Jules</b><br/>Mad World</a>,W 34 | P 23,66,06.11.2011
VW 73,Brooke Fraser</b><br/>Something In The Water</a>,W 23 | P 10,67,06.11.2011
VW 48,Jason Derulo</b><br/>Don't Wanna Go Home</a>,W 20 | P 18,68,06.11.2011
VW 51,Alexandra Stan</b><br/>Get Back (ASAP)</a>,W 7 | P 23,69,06.11.2011
VW 50,Evanescence</b><br/>Bring Me To Life</a>,W 46 | P 6,70,06.11.2011
VW 47,Britney Spears</b><br/>I Wanna Go</a>,W 18 | P 27,71,06.11.2011
re,Tim Bendzko</b><br/>Wenn Worte meine Sprache wären</a>,W 3 | P 46,72,06.11.2011
re,The Black Eyed Peas</b><br/>Don't Stop The Party</a>,W 18 | P 25,73,06.11.2011
re,Rihanna</b><br/>California King Bed</a>,W 23 | P 10,74,06.11.2011
VW 62,Jessie J feat. B.o.B</b><br/>Price Tag</a>,W 34 | P 7,75,06.11.2011
VW 2,Adele</b><br/>Someone Like You</a>,W 20 | P 1,1,13.11.2011
VW 1,Rihanna feat. Calvin Harris</b><br/>We Found Love</a>,W 6 | P 1,2,13.11.2011
VW 5,David Guetta feat. Usher</b><br/>Without You</a>,W 6 | P 3,3,13.11.2011
VW 3,Marlon Roudette</b><br/>New Age</a>,W 12 | P 1,4,13.11.2011
VW 6,Coldplay</b><br/>Paradise</a>,W 8 | P 4,5,13.11.2011
neu,Nickelback</b><br/>When We Stand Together</a>,W 1 | P 6,6,13.11.2011
VW 4,Pitbull feat. Marc Anthony</b><br/>Rain Over Me</a>,W 20 | P 3,7,13.11.2011
VW 7,LMFAO</b><br/>Sexy And I Know It</a>,W 5 | P 7,8,13.11.2011
VW 8,Maroon 5 feat. Christina Aguilera</b><br/>Moves Like Jagger</a>,W 18 | P 5,9,13.11.2011
VW 9,Sean Paul feat. Alexis Jordan</b><br/>Got 2 Luv U</a>,W 13 | P 1,10,13.11.2011
VW 11,James Morrison</b><br/>I Won't Let You Go</a>,W 10 | P 3,11,13.11.2011
VW 12,Adele</b><br/>Rolling In The Deep</a>,W 42 | P 1,12,13.11.2011
VW 10,Stress feat. Noah Veraguth</b><br/>Elle</a>,W 4 | P 9,13,13.11.2011
neu,Taio Cruz feat. Flo Rida</b><br/>Hangover</a>,W 1 | P 14,14,13.11.2011
VW 16,Tim Bendzko</b><br/>Nur noch kurz die Welt retten</a>,W 17 | P 15,15,13.11.2011
VW 20,Bruno Mars</b><br/>Marry You</a>,W 6 | P 16,16,13.11.2011
VW 17,Lucenzo feat. Don Omar</b><br/>Danza kuduro</a>,W 25 | P 1,17,13.11.2011
VW 15,Mike Candys &amp; Evelyn feat. Patrick Miller</b><br/>One Night In Ibiza</a>,W 16 | P 7,18,13.11.2011
VW 28,Aura Dione</b><br/>Geronimo</a>,W 2 | P 19,19,13.11.2011
VW 14,Adele</b><br/>Set Fire To The Rain</a>,W 28 | P 4,20,13.11.2011
VW 23,DJ Antoine vs. Timati feat. Kalenna</b><br/>Welcome To St. Tropez</a>,W 31 | P 2,21,13.11.2011
VW 24,Kelly Clarkson</b><br/>Mr. Know It All</a>,W 2 | P 22,22,13.11.2011
VW 18,Sak Noel</b><br/>Loca People (What The F**k!)</a>,W 15 | P 2,23,13.11.2011
neu,Avicii</b><br/>Levels</a>,W 1 | P 24,24,13.11.2011
VW 29,77 Bombay Street</b><br/>Up In The Sky</a>,W 30 | P 7,25,13.11.2011
VW 26,Foster The People</b><br/>Pumped Up Kicks</a>,W 19 | P 23,26,13.11.2011
VW 21,R.I.O. feat. U-Jean</b><br/>Turn This Club Around</a>,W 7 | P 1,27,13.11.2011
VW 19,David Guetta feat. Sia</b><br/>Titanium</a>,W 13 | P 10,28,13.11.2011
VW 25,Sasha Lopez &amp; Broono feat. Andreea D</b><br/>All My People</a>,W 4 | P 25,29,13.11.2011
VW 22,77 Bombay Street</b><br/>I Love Lady Gaga</a>,W 8 | P 19,30,13.11.2011
VW 27,Pitbull feat. Ne-Yo| Afrojack &amp; Nayer</b><br/>Give Me Everything</a>,W 29 | P 2,31,13.11.2011
VW 30,LMFAO feat. Lauren Bennett &amp; GoonRock</b><br/>Party Rock Anthem</a>,W 31 | P 1,32,13.11.2011
VW 33,The Asteroids Galaxy Tour</b><br/>The Golden Age</a>,W 18 | P 7,33,13.11.2011
VW 31,Example</b><br/>Changed The Way You Kiss Me</a>,W 8 | P 20,34,13.11.2011
VW 32,Alexandra Stan</b><br/>Mr. Saxobeat</a>,W 35 | P 1,35,13.11.2011
VW 34,Lana Del Rey</b><br/>Video Games</a>,W 3 | P 32,36,13.11.2011
VW 35,Mika</b><br/>Elle me dit</a>,W 13 | P 16,37,13.11.2011
VW 36,Britney Spears</b><br/>Criminal</a>,W 5 | P 36,38,13.11.2011
VW 42,Jennifer Lopez feat. Pitbull</b><br/>On The Floor</a>,W 36 | P 1,39,13.11.2011
VW 38,Lady Gaga</b><br/>Yoü And I</a>,W 9 | P 32,40,13.11.2011
VW 41,Snow Patrol</b><br/>Called Out In The Dark</a>,W 9 | P 36,41,13.11.2011
VW 39,Bad Meets Evil feat. Bruno Mars</b><br/>Lighters</a>,W 21 | P 10,42,13.11.2011
VW 13,Kool Savas</b><br/>Aura</a>,W 2 | P 13,43,13.11.2011
VW 44,Bligg</b><br/>Manhattan</a>,W 22 | P 9,44,13.11.2011
re,"DJ Antoine feat. The Beat Shakers</b><br/>""Ma chérie""</a>",W 35 | P 21,45,13.11.2011
VW 37,Rihanna</b><br/>Man Down</a>,W 22 | P 9,46,13.11.2011
VW 53,Unheilig</b><br/>Geboren um zu leben</a>,W 73 | P 13,47,13.11.2011
VW 47,Bruno Mars</b><br/>Grenade</a>,W 41 | P 1,48,13.11.2011
VW 43,David Guetta feat. Taio Cruz &amp; Ludacris</b><br/>Little Bad Girl</a>,W 19 | P 7,49,13.11.2011
VW 40,Coldplay</b><br/>Every Teardrop Is A Waterfall</a>,W 18 | P 6,50,13.11.2011
VW 45,Snoop Dogg vs. David Guetta</b><br/>Sweat</a>,W 34 | P 2,51,13.11.2011
re,Bruno Mars</b><br/>The Lazy Song</a>,W 25 | P 9,52,13.11.2011
VW 51,DJ Antoine feat. Tom Dice</b><br/>Sunlight</a>,W 23 | P 10,53,13.11.2011
VW 56,Hurts</b><br/>Blood Tears &amp; Gold</a>,W 4 | P 54,54,13.11.2011
re,Bastian Baker</b><br/>Lucky</a>,W 7 | P 38,55,13.11.2011
re,Sunrise Avenue</b><br/>Hollywood Hills</a>,W 36 | P 3,56,13.11.2011
VW 54,Pegasus</b><br/>Technology</a>,W 8 | P 31,57,13.11.2011
VW 48,Selah Sue</b><br/>This World</a>,W 5 | P 42,58,13.11.2011
VW 46,Jennifer Lopez</b><br/>Papi</a>,W 6 | P 37,59,13.11.2011
VW 55,Shakira feat. Freshlyground</b><br/>Waka Waka (This Time For Africa)</a>,W 77 | P 1,60,13.11.2011
VW 59,Lady Gaga</b><br/>The Edge Of Glory</a>,W 22 | P 10,61,13.11.2011
neu,Florence + The Machine</b><br/>Shake It Out</a>,W 1 | P 62,62,13.11.2011
VW 62,Chris Brown feat. Benny Benassi</b><br/>Beautiful People</a>,W 23 | P 36,63,13.11.2011
VW 65,Katy Perry</b><br/>Last Friday Night (T.G.I.F.)</a>,W 20 | P 20,64,13.11.2011
re,Bastian Baker</b><br/>Tomorrow May Not Be Better</a>,W 3 | P 65,65,13.11.2011
re,LMFAO feat. Natalia Kills</b><br/>Champagne Showers</a>,W 10 | P 56,66,13.11.2011
VW 66,Michael Andrews feat. Gary Jules</b><br/>Mad World</a>,W 35 | P 23,67,13.11.2011
VW 67,Brooke Fraser</b><br/>Something In The Water</a>,W 24 | P 10,68,13.11.2011
VW 58,Israel IZ Kamakawiwo'ole</b><br/>Over The Rainbow</a>,W 60 | P 3,69,13.11.2011
re,Paul &amp; Fritz Kalkbrenner</b><br/>Sky And Sand</a>,W 2 | P 56,70,13.11.2011
VW 57,Red Hot Chili Peppers</b><br/>The Adventures Of Rain Dance Maggie</a>,W 11 | P 26,71,13.11.2011
re,Eminem feat. Rihanna</b><br/>Love The Way You Lie</a>,W 48 | P 1,72,13.11.2011
re,Caro Emerald</b><br/>A Night Like This</a>,W 28 | P 9,73,13.11.2011
VW 61,Lana Del Rey</b><br/>Blue Jeans</a>,W 3 | P 61,74,13.11.2011
re,Usher</b><br/>More</a>,W 31 | P 2,75,13.11.2011
VW 1,Adele</b><br/>Someone Like You</a>,W 21 | P 1,1,20.11.2011
VW 2,Rihanna feat. Calvin Harris</b><br/>We Found Love</a>,W 7 | P 1,2,20.11.2011
VW 3,David Guetta feat. Usher</b><br/>Without You</a>,W 7 | P 3,3,20.11.2011
VW 4,Marlon Roudette</b><br/>New Age</a>,W 13 | P 1,4,20.11.2011
VW 5,Coldplay</b><br/>Paradise</a>,W 9 | P 4,5,20.11.2011
VW 7,Pitbull feat. Marc Anthony</b><br/>Rain Over Me</a>,W 21 | P 3,6,20.11.2011
VW 8,LMFAO</b><br/>Sexy And I Know It</a>,W 6 | P 7,7,20.11.2011
VW 14,Taio Cruz feat. Flo Rida</b><br/>Hangover</a>,W 2 | P 8,8,20.11.2011
VW 6,Nickelback</b><br/>When We Stand Together</a>,W 2 | P 6,9,20.11.2011
VW 10,Sean Paul feat. Alexis Jordan</b><br/>Got 2 Luv U</a>,W 14 | P 1,10,20.11.2011
VW 9,Maroon 5 feat. Christina Aguilera</b><br/>Moves Like Jagger</a>,W 19 | P 5,11,20.11.2011
VW 24,Avicii</b><br/>Levels</a>,W 2 | P 12,12,20.11.2011
VW 19,Aura Dione</b><br/>Geronimo</a>,W 3 | P 13,13,20.11.2011
VW 15,Tim Bendzko</b><br/>Nur noch kurz die Welt retten</a>,W 18 | P 14,14,20.11.2011
VW 12,Adele</b><br/>Rolling In The Deep</a>,W 43 | P 1,15,20.11.2011
VW 16,Bruno Mars</b><br/>Marry You</a>,W 7 | P 16,16,20.11.2011
VW 17,Lucenzo feat. Don Omar</b><br/>Danza kuduro</a>,W 26 | P 1,17,20.11.2011
VW 18,Mike Candys &amp; Evelyn feat. Patrick Miller</b><br/>One Night In Ibiza</a>,W 17 | P 7,18,20.11.2011
